organization,target_decision_maker_role,known_person_or_path,linkedin_company,instagram_company,priority_search_query_1,priority_search_query_2,priority_search_query_3,social_research_source,next_action
Bamba,Head of Growth,No named person verified yet; use role-based outreach,n/a,n/a,Bamba Head of Growth LinkedIn Kenya,Bamba Head of Growth email,Bamba Head of Growth Instagram,https://getbamba.com,Identify named role owner and update email/phone if better contact exists
BasiGo,Business Development Lead,No named person verified yet; use role-based outreach,https://www.linkedin.com/company/basigo/,https://www.instagram.com/basi.go/,BasiGo Business Development Lead LinkedIn Kenya,BasiGo Business Development Lead email,BasiGo Business Development Lead Instagram,https://basi-go.com,Identify named role owner and update email/phone if better contact exists
Cellulant,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,Cellulant Partnerships Lead LinkedIn Kenya,Cellulant Partnerships Lead email,Cellulant Partnerships Lead Instagram,https://www.cellulant.io,Identify named role owner and update email/phone if better contact exists
Copia Kenya,Head of Operations,No named person verified yet; use role-based outreach,n/a,n/a,Copia Kenya Head of Operations LinkedIn Kenya,Copia Kenya Head of Operations email,Copia Kenya Head of Operations Instagram,https://copia.co.ke,Identify named role owner and update email/phone if better contact exists
DHL Kenya,Commercial Manager,No named person verified yet; use role-based outreach,n/a,n/a,DHL Kenya Commercial Manager LinkedIn Kenya,DHL Kenya Commercial Manager email,DHL Kenya Commercial Manager Instagram,https://www.dhl.com/ke-en/home.html,Identify named role owner and update email/phone if better contact exists
Eka Hotel Nairobi,General Manager,No named person verified yet; use role-based outreach,n/a,n/a,Eka Hotel Nairobi General Manager LinkedIn Kenya,Eka Hotel Nairobi General Manager email,Eka Hotel Nairobi General Manager Instagram,n/a,Identify named role owner and update email/phone if better contact exists
Equity Group,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,Equity Group Partnerships Lead LinkedIn Kenya,Equity Group Partnerships Lead email,Equity Group Partnerships Lead Instagram,https://equitygroupholdings.com,Identify named role owner and update email/phone if better contact exists
Greenspoon,Head of Operations,No named person verified yet; use role-based outreach,https://ke.linkedin.com/company/greenspoonke,https://www.instagram.com/greenspoonke/?hl=en,Greenspoon Head of Operations LinkedIn Kenya,Greenspoon Head of Operations email,Greenspoon Head of Operations Instagram,https://greenspoon.co.ke,Identify named role owner and update email/phone if better contact exists
Ilara Health,Operations Manager,No named person verified yet; use role-based outreach,https://www.linkedin.com/company/ilarahealth/,https://www.instagram.com/ilarahealth/,Ilara Health Operations Manager LinkedIn Kenya,Ilara Health Operations Manager email,Ilara Health Operations Manager Instagram,https://ilarahealth.com,Identify named role owner and update email/phone if better contact exists
iProcure,Founder/Operations Lead,No named person verified yet; use role-based outreach,n/a,n/a,iProcure Founder/Operations Lead LinkedIn Kenya,iProcure Founder/Operations Lead email,iProcure Founder/Operations Lead Instagram,https://iprocure.com,Identify named role owner and update email/phone if better contact exists
Jumia Kenya,Head of Operations,Kenya support + corporate/bulk purchase route; escalate to operations/commercial manager via corporate channel.,n/a,n/a,Jumia Kenya Head of Operations LinkedIn Kenya,Jumia Kenya Head of Operations email,Jumia Kenya Head of Operations Instagram,https://www.jumia.co.ke/sp-contact/,Identify named role owner and update email/phone if better contact exists
KCB Group,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,KCB Group Partnerships Lead LinkedIn Kenya,KCB Group Partnerships Lead email,KCB Group Partnerships Lead Instagram,https://www.kcbgroup.com,Identify named role owner and update email/phone if better contact exists
Kenya Airways,Business Development Manager,No named person verified yet; use role-based outreach,n/a,n/a,Kenya Airways Business Development Manager LinkedIn Kenya,Kenya Airways Business Development Manager email,Kenya Airways Business Development Manager Instagram,https://www.kenya-airways.com,Identify named role owner and update email/phone if better contact exists
Kilimall Kenya,Head of Operations,No named person verified yet; use role-based outreach,n/a,n/a,Kilimall Kenya Head of Operations LinkedIn Kenya,Kilimall Kenya Head of Operations email,Kilimall Kenya Head of Operations Instagram,n/a,Identify named role owner and update email/phone if better contact exists
Kopo Kopo,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,Kopo Kopo Partnerships Lead LinkedIn Kenya,Kopo Kopo Partnerships Lead email,Kopo Kopo Partnerships Lead Instagram,https://kopokopo.co.ke,Identify named role owner and update email/phone if better contact exists
M-Gas,Partnerships Lead,Nick Quintong (Managing Director); Anita Otete (Divisional Head - Customer Experience); Richard O'Brien (Divisional Head - Legal and Compliance),https://www.linkedin.com/company/m-gas/,n/a,M-Gas Partnerships Lead LinkedIn Kenya,M-Gas Partnerships Lead email,M-Gas Partnerships Lead Instagram,https://mgas.ke/about-us/|https://mgas.ke/contact-us/,Identify named role owner and update email/phone if better contact exists
M-KOPA,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,M-KOPA Partnerships Lead LinkedIn Kenya,M-KOPA Partnerships Lead email,M-KOPA Partnerships Lead Instagram,https://www.m-kopa.com,Identify named role owner and update email/phone if better contact exists
MarketForce,Head of Growth,No named person verified yet; use role-based outreach,n/a,n/a,MarketForce Head of Growth LinkedIn Kenya,MarketForce Head of Growth email,MarketForce Head of Growth Instagram,https://www.marketforce.io,Identify named role owner and update email/phone if better contact exists
Moringa School,Operations Manager,No named person verified yet; use role-based outreach,n/a,n/a,Moringa School Operations Manager LinkedIn Kenya,Moringa School Operations Manager email,Moringa School Operations Manager Instagram,https://moringaschool.com,Identify named role owner and update email/phone if better contact exists
Nairobi Garage,Founder/Operations Lead,No named person verified yet; use role-based outreach,n/a,n/a,Nairobi Garage Founder/Operations Lead LinkedIn Kenya,Nairobi Garage Founder/Operations Lead email,Nairobi Garage Founder/Operations Lead Instagram,https://nairobigarage.com,Identify named role owner and update email/phone if better contact exists
Naivas Supermarket,Head of Operations,No named person verified yet; use role-based outreach,n/a,n/a,Naivas Supermarket Head of Operations LinkedIn Kenya,Naivas Supermarket Head of Operations email,Naivas Supermarket Head of Operations Instagram,https://naivas.online,Identify named role owner and update email/phone if better contact exists
PesaPal,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,PesaPal Partnerships Lead LinkedIn Kenya,PesaPal Partnerships Lead email,PesaPal Partnerships Lead Instagram,https://www.pesapal.com/about-us,Identify named role owner and update email/phone if better contact exists
Pezesha,Partnerships Lead,No named person verified yet; use role-based outreach,n/a,n/a,Pezesha Partnerships Lead LinkedIn Kenya,Pezesha Partnerships Lead email,Pezesha Partnerships Lead Instagram,https://www.pezesha.com,Identify named role owner and update email/phone if better contact exists
PrideInn Hotels,General Manager,No named person verified yet; use role-based outreach,n/a,n/a,PrideInn Hotels General Manager LinkedIn Kenya,PrideInn Hotels General Manager email,PrideInn Hotels General Manager Instagram,https://prideinnhotels.com,Identify named role owner and update email/phone if better contact exists
Quickmart,Head of Operations,Q-Soko team and operations path via contact page.,n/a,n/a,Quickmart Head of Operations LinkedIn Kenya,Quickmart Head of Operations email,Quickmart Head of Operations Instagram,https://www.quickmart.co.ke/contact-us,Identify named role owner and update email/phone if better contact exists
Safaricom,Business Development Manager,Safaricom Business team contacts; likely path to Business Development/Commercial owners.,n/a,n/a,Safaricom Business Development Manager LinkedIn Kenya,Safaricom Business Development Manager email,Safaricom Business Development Manager Instagram,https://www.business.safaricom.co.ke/,Identify named role owner and update email/phone if better contact exists
Sarova Hotels,General Manager,Central Reservations team (corporate); use group-level decision-maker path via corporate contact,n/a,n/a,Sarova Hotels General Manager LinkedIn Kenya,Sarova Hotels General Manager email,Sarova Hotels General Manager Instagram,https://www.sarovahotels.com/|https://www.sarovahotels.com/contact-us.html,Identify named role owner and update email/phone if better contact exists
Sendy,Commercial Manager,No named person verified yet; use role-based outreach,n/a,n/a,Sendy Commercial Manager LinkedIn Kenya,Sendy Commercial Manager email,Sendy Commercial Manager Instagram,https://sendyit.com,Identify named role owner and update email/phone if better contact exists
Serena Hotels Kenya,General Manager,Kenya marketing/corporate team (group-level).,n/a,n/a,Serena Hotels Kenya General Manager LinkedIn Kenya,Serena Hotels Kenya General Manager email,Serena Hotels Kenya General Manager Instagram,https://www.serenahotels.com/,Identify named role owner and update email/phone if better contact exists
Twiga Foods,Head of Operations,No named person verified yet; use role-based outreach,n/a,n/a,Twiga Foods Head of Operations LinkedIn Kenya,Twiga Foods Head of Operations email,Twiga Foods Head of Operations Instagram,https://twiga.com,Identify named role owner and update email/phone if better contact exists
Twiva,Business Development Lead,No named person verified yet; use role-based outreach,https://www.linkedin.com/company/twiva/,https://www.instagram.com/twiva_inc/,Twiva Business Development Lead LinkedIn Kenya,Twiva Business Development Lead email,Twiva Business Development Lead Instagram,https://twiva.co.ke,Identify named role owner and update email/phone if better contact exists
Villa Rosa Kempinski Nairobi,General Manager,Reservations/corporate events contact path through hotel details and meetings/events.,n/a,n/a,Villa Rosa Kempinski Nairobi General Manager LinkedIn Kenya,Villa Rosa Kempinski Nairobi General Manager email,Villa Rosa Kempinski Nairobi General Manager Instagram,https://www.kempinski.com/en/hotel-villa-rosa,Identify named role owner and update email/phone if better contact exists
Workpay,Head of Growth,No named person verified yet; use role-based outreach,n/a,n/a,Workpay Head of Growth LinkedIn Kenya,Workpay Head of Growth email,Workpay Head of Growth Instagram,https://myworkpay.com,Identify named role owner and update email/phone if better contact exists