intent_id,intent_name,buyer_signal_strength,sectors,target_daily_min_leads,target_daily_max_leads,target_daily_operating_leads,primary_trigger_terms,warm_signal_terms,exclusion_terms,primary_decision_roles,offer_angle
sales_pipeline_growth,Sales Pipeline and Lead Generation,hot,SaaS | Agencies | Fintech | Professional Services | Education,15,30,23,need more leads | low conversion | sales pipeline dry | book more demos,improve response rate | follow-up process | CRM issue,growth hack thread | marketing tutorial,Head of Sales | Growth Lead | Founder,lead qualification + conversion orchestration for same-day revenue
bulk_supply_procurement,Bulk Supply and Replenishment,hot,Retail | Hospitality | Wholesale | Schools | Healthcare,12,30,21,bulk order | need supplier urgently | restocking | wholesale supplier,supplier recommendations | MOQ | delivery reliability,product promotion | B2C shopping post,Supply Chain Lead | Purchasing Officer | Store Operations Manager,stable supply pipeline + reorder automation
vehicle_purchase,Vehicle Purchase and Fleet Upgrade,hot,Mobility | Logistics | Corporate Transport | Construction | NGO,10,30,20,looking for a car | need a vehicle | fleet upgrade | buy pickup,comparing car models | fuel efficient car | maintenance cost,car news | car meme | job vacancy | dealer ad,Operations Manager | Fleet Manager | Procurement Lead | Founder,faster shortlist + decision support + direct supplier route
logistics_distribution,"Logistics, Delivery, and Distribution",hot,E-commerce | FMCG | Pharma | Agriculture | Manufacturing,10,30,20,need delivery partner | last mile | distribution challenge | fulfillment partner,delivery delays | route optimization | warehouse support,courier ad | logistics news,Logistics Manager | Operations Lead | Commercial Manager,reliable distribution routing + SLA visibility
customer_support_automation,Customer Support and WhatsApp Automation,hot,Retail | Hospitality | Healthcare | Fintech | Telecom,12,25,19,too many inquiries | slow response | WhatsApp support | support backlog,customer complaints | response time | support team overload,customer rant without business owner context,Customer Experience Lead | Operations Manager | Founder,automated first response + lead routing + follow-up discipline
equipment_procurement,Machinery and Equipment Procurement,hot,Manufacturing | Construction | Agriculture | Food Processing | Healthcare,10,25,18,need supplier | buy machinery | industrial equipment | procure generator,equipment options | price comparison | maintenance contract,equipment review | news article | old thread,Procurement Manager | Plant Manager | Operations Director,verified supplier matching + cost/time-to-delivery optimization
payments_financing,"Payments, Financing, and Credit Need",hot,SME | Retail | E-commerce | Healthcare | Education,10,25,18,need payment solution | POS for business | working capital | invoice financing,compare payment gateways | settlement time | transaction fees,consumer loan ad | general finance news,Finance Manager | Founder | Head of Operations,faster checkout-to-cash conversion and reduced payment friction
ecommerce_catalog_conversion,E-commerce Catalog and Conversion,warm,D2C | Retail | Beauty | Fashion | Electronics,10,25,18,low cart conversion | catalog not converting | need online sales | product inquiries,checkout dropoff | catalog cleanup | merchant onboarding,shopper recommendation post,E-commerce Manager | Digital Lead | Founder,catalog optimization + inquiry-to-order conversion
hiring_workforce,"Hiring, Workforce, and Staffing",warm,BPO | Retail | Hospitality | Healthcare | Tech,10,20,15,urgent hiring | need staff | recruitment partner | sales hires,high attrition | training gaps | onboarding bottleneck,job seeker post | HR tips,HR Manager | People Ops Lead | Founder,faster role-to-hire workflow and better staffing predictability
real_estate_space,"Real Estate, Office, and Commercial Space",warm,Real Estate | Hospitality | Retail | SME Services,10,20,15,looking for office space | shop space needed | commercial property | warehouse space,lease terms | location shortlist | property comparison,broker ad | property listing spam,Admin Lead | Founder | Operations Manager,requirements capture + fast shortlist + negotiation route
it_systems_security,"IT Systems, ERP, and Security Upgrades",warm,Manufacturing | Healthcare | Education | Financial Services | Government Contractors,10,20,15,need ERP | system migration | cybersecurity help | data backup,legacy systems | manual process pain | compliance pressure,tech news | developer tutorial,IT Manager | COO | Compliance Lead,risk reduction + process reliability + implementation roadmap
training_enablement,"Training, Enablement, and Performance Coaching",warm,Sales Teams | Call Centers | Retail Chains | Education | Healthcare,10,18,14,need sales training | team performance issue | customer handling training | manager coaching,inconsistent team output | onboarding quality | KPI misses,free webinar posts | motivation quote posts,L&D Manager | Head of Sales | Operations Head,practical upskilling tied to revenue and service outcomes